,name,y_preds,y_preds_sc,error,error_sc,uq_sc,uq
0,metal_co_ox_2_spin_2_ligstr_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2,14.770277,-0.113302186,0.9234938950582592,0.1895414968974843,0.1191487506043393,0.5807773298982778
2,metal_co_ox_2_spin_2_ligstr_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2],15.013065,-0.06347138,0.3759117837593173,0.0771536067494886,0.162843790313597,0.7937639400257507
12,metal_co_ox_3_spin_5_ligstr_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3],19.942568,0.9482789,-0.2473057891924277,-0.050757967683099,0.1541306482640833,0.7512926984149579
24,metal_mn_ox_2_spin_6_ligstr_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH],15.612217,0.059500802,0.2624106373460098,0.0538581630105091,0.1069154432993752,0.5211474343570702
26,metal_mn_ox_3_spin_5_ligstr_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P],20.091318,0.9788091,0.7699007575601158,0.1580175823889945,0.1531748698221912,0.7466338627272909
27,metal_co_ox_2_spin_2_ligstr_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH],16.348738,0.21066727,-0.7199994911806655,-0.1477754324636158,0.1816434996219971,0.8854010316412021
30,metal_co_ox_2_spin_4_ligstr_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH],17.483042,0.44347626,-0.5263731995775842,-0.1080348001925378,0.1414375934766627,0.6894218149159731
35,metal_co_ox_3_spin_5_ligstr_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N],27.002327,2.3972511,-0.3541368950305141,-0.0726845897683508,0.0981545792058688,0.478443576951762
37,metal_cr_ox_2_spin_1_ligstr_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2],15.177449,-0.029732667,0.3957753665702608,0.0812304073230351,0.1715712602494832,0.8363050213247338
39,metal_cr_ox_2_spin_5_ligstr_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2,15.071252,-0.05152895,0.7686092939856408,0.157752368366858,0.1250506591422036,0.6095455264973938
40,metal_cr_ox_2_spin_5_ligstr_[NH]=[PH]_[NH]=[PH]_[NH]=[PH]_[NH]=[PH]_[NH]=[PH]_[NH]=[PH],14.0602455,-0.25903186,0.6522120812695,0.1338625144870305,0.1456082994335007,0.7097514571247013
41,metal_cr_ox_2_spin_5_ligstr_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-],14.176508,-0.23516972,1.2609889555012934,0.2588102311982024,0.1582840412953574,0.7715379506940333
47,metal_fe_ox_2_spin_1_ligstr_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH],15.234419,-0.018039864,-0.1137224181077805,-0.023340766651407,0.1490258313807956,0.7264098364121439
57,metal_mn_ox_2_spin_6_ligstr_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH],15.407796,0.017544726,-0.146348027824386,-0.0300369613887668,0.1732031371308704,0.8442594236419017
62,metal_co_ox_2_spin_2_ligstr_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH],17.414654,0.42943984,0.0646439088233954,0.0132676481229293,0.1444024610434405,0.7038737320380692
68,metal_co_ox_3_spin_1_ligstr_[NH+]-[PH3-]_[NH+]-[PH3-]_[NH+]-[PH3-]_[NH+]-[PH3-]_[NH+]-[PH3-]_[NH+]-[PH3-],18.226095,0.5959834,0.4360527175548156,0.0894971870755944,0.1306228210980105,0.6367064100655379
71,metal_cr_ox_2_spin_5_ligstr_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2,14.153032,-0.23998792,0.4244139026577844,0.0871083465700809,0.1101213839910383,0.5367744356077953
73,metal_fe_ox_2_spin_1_ligstr_[NH]=[O]_[NH]=[O]_[NH]=[O]_[NH]=[O]_[NH]=[O]_[NH]=[O],19.118595,0.7791635,0.4639915372396466,0.0952313982554677,0.1301824450780622,0.6345598461467428
75,metal_fe_ox_2_spin_1_ligstr_[PH+]-[PH3-]_[PH+]-[PH3-]_[PH+]-[PH3-]_[PH+]-[PH3-]_[PH+]-[PH3-]_[PH+]-[PH3-],12.451348,-0.58924806,1.0894679272735992,0.2236067242458169,0.1834660851056589,0.8942850218244269
89,metal_co_ox_2_spin_4_ligstr_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N],21.135473,1.1931152,-1.1145821614289666,-0.228761359966267,0.1124423836845741,0.5480878904100427
94,metal_co_ox_3_spin_5_ligstr_[O]=[PH]_[O]=[PH]_[O]=[PH]_[O]=[PH]_[O]=[PH]_[O]=[PH],19.623224,0.8827356,0.0682393043885412,0.0140057556210789,0.1452831732335949,0.7081666656325245
97,metal_cr_ox_2_spin_1_ligstr_[NH2]-[OH]_[NH2]-[OH]_[NH2]-[OH]_[NH2]-[OH]_[NH2]-[OH]_[NH2]-[OH],14.555769,-0.15732865,1.3948531341680983,0.286285103250271,0.1541788525064873,0.7515276646319864
104,metal_fe_ox_2_spin_5_ligstr_[O+]-[SH2-]_[O+]-[SH2-]_[O+]-[SH2-]_[O+]-[SH2-]_[O+]-[SH2-]_[O+]-[SH2-],14.975566,-0.071167946,0.640362097541173,0.1314303767892275,0.1317570075502981,0.6422348757525496
114,metal_mn_ox_3_spin_5_ligstr_[NH3]_[NH3]_[NH3]_[NH3]_[NH3]_[NH3],22.522312,1.4777558,0.6558740275796353,0.1346142919675033,0.1265710925342021,0.6169567099232728
120,metal_cr_ox_2_spin_1_ligstr_C2H8P2_C2H8P2_C2H8P2_C2H8P2_C2H8P2_C2H8P2,13.919389,-0.28794187,1.046588029192435,0.2148057419876884,0.1317222945553259,0.6420656711202687
123,metal_cr_ox_2_spin_5_ligstr_[O]=[PH]_[O]=[PH]_[O]=[PH]_[O]=[PH]_[O]=[PH]_[O]=[PH],14.622366,-0.14366002,0.2352161903617595,0.048276710420622,0.1522826133511882,0.7422846578201041
124,metal_fe_ox_2_spin_1_ligstr_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3],14.592173,-0.14985706,0.5470601439367577,0.1122807368675528,0.1322363401593719,0.6445713292312394
137,metal_co_ox_2_spin_2_ligstr_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH],15.394913,0.014900407,-0.3969993895222501,-0.081481745279269,0.1808293206992595,0.881432407057154
161,metal_mn_ox_2_spin_6_ligstr_H6P4_H6P4_H6P4_H6P4_H6P4_H6P4,14.220637,-0.22611241,0.3408674191399381,0.069960938832116,0.1456478186193827,0.7099440889998984
166,metal_co_ox_2_spin_2_ligstr_[OH]-[SH]_[OH]-[SH]_[OH]-[SH]_[OH]-[SH]_[OH]-[SH]_[OH]-[SH],15.553373,0.047423583,-0.3204502495245442,-0.0657703996202629,0.094177350759618,0.4590570193446284
169,metal_co_ox_2_spin_4_ligstr_[PH2]-[SH]_[PH2]-[SH]_[PH2]-[SH]_[PH2]-[SH]_[PH2]-[SH]_[PH2]-[SH],14.450665,-0.1789006,0.1729303090074996,0.0354928119099678,0.1261007405228635,0.61466403136918
171,metal_co_ox_3_spin_1_ligstr_[C+]#[O-]_[C+]#[O-]_[C+]#[O-]_[C+]#[O-]_[C+]#[O-]_[C+]#[O-],27.685549,2.5374784,-0.2599501364565384,-0.0533531176457011,0.123560676628492,0.6022827724901603
172,metal_co_ox_3_spin_1_ligstr_[P]#[P]_[P]#[P]_[P]#[P]_[P]#[P]_[P]#[P]_[P]#[P],17.974598,0.54436517,-0.8157717821413968,-0.1674320817242041,0.2301136638335949,1.121663454937797
181,metal_fe_ox_3_spin_6_ligstr_[CH2+]-[PH3-]_[CH2+]-[PH3-]_[CH2+]-[PH3-]_[CH2+]-[PH3-]_[CH2+]-[PH3-]_[CH2+]-[PH3-],16.219149,0.18406987,0.648072530380313,0.1330129598703341,0.1658213784109903,0.8082778619592131
196,metal_co_ox_3_spin_5_ligstr_[NH3]_[NH3]_[NH3]_[NH3]_[NH3]_[NH3],23.118069,1.600031,0.3206773538455714,0.0658170698029558,0.1077142574324735,0.5250411649833059
201,metal_cr_ox_3_spin_2_ligstr_[N+]=[NH2-]_[N+]=[NH2-]_[N+]=[NH2-]_[N+]=[NH2-]_[N+]=[NH2-]_[N+]=[NH2-],20.589449,1.0810474,1.4946749158089894,0.3067730442764118,0.1336677327770443,0.651548493308171
