,name,y_preds,y_preds_sc,v,alpha,beta,error,error_sc,uq_ale_sc,uq_epi_sc,uq_ale,uq_epi
0,metal_co_ox_2_spin_2_ligstr_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2,14.550947,-0.15831834,0.45474952,2.3901672,0.003878188,0.7041640610738842,0.1445253422506108,0.052817873293275086,0.07832398683270624,0.25745484754631315,0.3817815605196143
2,metal_co_ox_2_spin_2_ligstr_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2],14.809385,-0.10527552,0.4485855,2.4326024,0.0027992236,0.1722317453071689,0.0353494644531744,0.044203428801207416,0.06599839020284955,0.2154646961994993,0.321701810931114
12,metal_co_ox_3_spin_5_ligstr_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3],19.97391,0.9547114,0.14106861,1.76433,0.0039289207,-0.2159642364580527,-0.0443254940235836,0.0716962066968301,0.1908890361402081,0.3494751835669147,0.9304673708624549
24,metal_mn_ox_2_spin_6_ligstr_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH],15.452898,0.026801497,0.47621638,2.4610224,0.0029215207,0.1030917133958144,0.021158857446344,0.044717348742971334,0.06479983230584328,0.21796974178365547,0.3158595737979414
26,metal_mn_ox_3_spin_5_ligstr_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P],20.225307,1.0063093,0.11591684,1.7279547,0.0029871627,0.9038900916665612,0.1855177349768851,0.06405857326305443,0.18814990136596624,0.3122463890565969,0.9171157631255142
27,metal_co_ox_2_spin_2_ligstr_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH],15.8811865,0.114705235,0.441721,2.3750482,0.0032900122,-1.1875507225649429,-0.2437374651393589,0.048914744935619515,0.07359795885625281,0.23842948257763596,0.3587450629040932
30,metal_co_ox_2_spin_4_ligstr_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH],17.880426,0.525037,0.26106623,2.0466838,0.0035185604,-0.1289885560228967,-0.0264740692583947,0.05797953848490862,0.11347479458183962,0.282614810303964,0.5531202624763085
35,metal_co_ox_3_spin_5_ligstr_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N],26.803135,2.3563683,0.012725721,1.2639003,0.00057198806,-0.5533289421496548,-0.1135674156197912,0.04655577275037996,0.4126979778226303,0.2269309350888985,2.011650381548497
37,metal_cr_ox_2_spin_1_ligstr_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2],15.1734085,-0.030561889,0.43288335,2.4218936,0.0025349597,0.3917346484916475,0.0804011856422747,0.04222328123859381,0.0641750977825799,0.205812687190708,0.3128143748640387
39,metal_cr_ox_2_spin_5_ligstr_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2,14.291953,-0.2114753,0.4438766,2.3103824,0.004846902,-0.0106894883629919,-0.002193980151275,0.06081813435800979,0.09128553565793407,0.29645123010256097,0.44496118833677606
40,metal_cr_ox_2_spin_5_ligstr_[NH]=[PH]_[NH]=[PH]_[NH]=[PH]_[NH]=[PH]_[NH]=[PH]_[NH]=[PH],14.115957,-0.2475974,0.43528965,2.2478166,0.0056065503,0.7079238274853203,0.1452969801337743,0.06703050355907333,0.10159756786193473,0.32673273266667247,0.49522604213413046
41,metal_cr_ox_2_spin_5_ligstr_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-],13.731139,-0.3265789,0.38359424,2.2644215,0.0033415307,0.8156201887166254,0.1674010695113051,0.051407536413104776,0.08300241970131395,0.2505803173194511,0.40458606107674705
