,name,y_preds,y_preds_sc,v,alpha,beta,error,error_sc,uq_ale_sc,uq_epi_sc,uq_ale,uq_epi
0,metal_co_ox_2_spin_2_ligstr_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2,14.635957,-0.14087063,0.4579236,2.3702862,0.0037912924,0.7891736359640209,0.1619730522878423,0.052600272993856084,0.07773050423538361,0.25639417909414197,0.3788886956220316
2,metal_co_ox_2_spin_2_ligstr_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2],14.82361,-0.1023559,0.46881893,2.4831972,0.0018966313,0.1864567514106845,0.0382690862187879,0.03575954697554973,0.05222632158258484,0.1743059335955424,0.25457139454081495
12,metal_co_ox_3_spin_5_ligstr_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3],20.071108,0.9746608,0.14595777,1.7640164,0.0040824665,-0.1187657501299277,-0.0243760578358395,0.07309875400725319,0.191335856416542,0.35631174440260893,0.9326453465920984
24,metal_mn_ox_2_spin_6_ligstr_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH],15.36739,0.009251585,0.48560172,2.3214712,0.0046113925,0.0175833668381972,0.0036089459324194,0.059072750572068414,0.0847709567917383,0.287943551006429,0.41320659837984924
26,metal_mn_ox_3_spin_5_ligstr_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P],20.245296,1.010412,0.13152236,1.6431127,0.005103112,0.923879105338436,0.1896204418860648,0.0890787280295138,0.24562592910132805,0.43420435005242736,1.1972762662947944
27,metal_co_ox_2_spin_2_ligstr_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH],15.963953,0.13169241,0.41646758,2.288907,0.003058251,-1.1047841896669937,-0.2267502903899845,0.04871085717867258,0.07548057021768816,0.2374356543882678,0.36792164255083576
30,metal_co_ox_2_spin_4_ligstr_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH],17.218702,0.38922217,0.325733,2.0494726,0.005492212,-0.7907126465990686,-0.1622888850180536,0.07234159737272342,0.1267526986714911,0.3526210686188802,0.6178419288363783
35,metal_co_ox_3_spin_5_ligstr_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N],26.575083,2.309562,0.01916197,1.2767636,0.0010276192,-0.7813810814318813,-0.1603737510690099,0.060934270965811894,0.4401913878615002,0.2970173250774611,2.1456639502278474
37,metal_cr_ox_2_spin_1_ligstr_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2],15.054481,-0.054971103,0.45250374,2.3764093,0.0028063091,0.2728066928642061,0.0559919716075981,0.04515376340936784,0.06712477864736068,0.22009699652525055,0.327192266096723
39,metal_cr_ox_2_spin_5_ligstr_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2,14.3728285,-0.19487603,0.4324856,2.2966266,0.0038283323,0.0701859083655236,0.014405287569901,0.054337211880681226,0.08262500989080533,0.26486069446900024,0.4027464189410735
40,metal_cr_ox_2_spin_5_ligstr_[NH]=[PH]_[NH]=[PH]_[NH]=[PH]_[NH]=[PH]_[NH]=[PH]_[NH]=[PH],14.209265,-0.2284466,0.44739333,2.1850872,0.007362845,0.8012313226025078,0.164447773686173,0.078822040835194,0.1178427646563695,0.3842092693478045,0.5744114466817152
41,metal_cr_ox_2_spin_5_ligstr_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-]_[O+]-[PH3-],14.302846,-0.20923951,0.4212784,2.2867863,0.0033767868,1.3873269605672114,0.2847404421461929,0.051226962657482195,0.07892489455531393,0.2497001306359294,0.3847106183643773
47,metal_fe_ox_2_spin_1_ligstr_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH]_[OH]-[PH]-[PH]-[OH],15.442427,0.024652448,0.48680803,2.2290254,0.007864895,0.0942853943922195,0.0193515444567052,0.07999558804926164,0.11465346084583634,0.38992959468935245,0.5588655400572575
57,metal_mn_ox_2_spin_6_ligstr_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH]_[SH]-[S]-[S]-[SH],15.407091,0.017399935,0.44910097,2.4982615,0.0014538812,-0.1470527931442102,-0.0301817522467971,0.03115090371667048,0.04648348211213027,0.15184161472715715,0.22657856241485577
62,metal_co_ox_2_spin_2_ligstr_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH],17.138905,0.37284398,0.32961518,2.0291648,0.006550834,-0.2111052977195733,-0.0433282137888443,0.07978216830204628,0.13896397650605052,0.38888930387382464,0.6773644441748073
68,metal_co_ox_3_spin_1_ligstr_[NH+]-[PH3-]_[NH+]-[PH3-]_[NH+]-[PH3-]_[NH+]-[PH3-]_[NH+]-[PH3-]_[NH+]-[PH3-],18.328041,0.6169071,0.26447752,1.9065483,0.0081053395,0.537998594630011,0.110420920786837,0.0945562262828133,0.18386359581663902,0.4609038059337373,0.8962226435632872
71,metal_cr_ox_2_spin_5_ligstr_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2,14.003682,-0.27064106,0.42668784,2.2859566,0.0038866415,0.2750637363369836,0.0564552125817005,0.05497612001750055,0.08416256304286447,0.2679749811054117,0.4102410507328488
73,metal_fe_ox_2_spin_1_ligstr_[NH]=[O]_[NH]=[O]_[NH]=[O]_[NH]=[O]_[NH]=[O]_[NH]=[O],18.860708,0.72623384,0.20171838,1.7506719,0.008333937,0.2061046506429669,0.0423017584391836,0.10536588686590935,0.23459961287440292,0.5135942939054051,1.1435297144895387
75,metal_fe_ox_2_spin_1_ligstr_[PH+]-[PH3-]_[PH+]-[PH3-]_[PH+]-[PH3-]_[PH+]-[PH3-]_[PH+]-[PH3-]_[PH+]-[PH3-],11.9626255,-0.6895556,0.2947088,1.946048,0.0052192938,0.6007451260651031,0.1232992000415628,0.07427613318260544,0.13682099179611684,0.36205074821314503,0.6669187036065232
89,metal_co_ox_2_spin_4_ligstr_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N],20.49696,1.0620643,0.124794684,1.6031945,0.005539206,-1.7530957264924432,-0.3598123042945751,0.09582858420969965,0.27126704031590304,0.46710577310254,1.322261010417519
94,metal_co_ox_3_spin_5_ligstr_[O]=[PH]_[O]=[PH]_[O]=[PH]_[O]=[PH]_[O]=[PH]_[O]=[PH],19.616785,0.88141406,0.16220878,1.8163049,0.00312825,0.0618000954041662,0.012684201437119,0.06190482851867065,0.15370477019708204,0.3017481998974056,0.7492168031549515
97,metal_cr_ox_2_spin_1_ligstr_[NH2]-[OH]_[NH2]-[OH]_[NH2]-[OH]_[NH2]-[OH]_[NH2]-[OH]_[NH2]-[OH],14.360824,-0.19733992,0.3947767,2.1868296,0.0048666154,1.1999077987799147,0.2462738314158975,0.06403528229343886,0.10191628209376057,0.31213285981625266,0.4967795792012128
104,metal_fe_ox_2_spin_5_ligstr_[O+]-[SH2-]_[O+]-[SH2-]_[O+]-[SH2-]_[O+]-[SH2-]_[O+]-[SH2-]_[O+]-[SH2-],15.29832,-0.0049245916,0.49968117,2.2912154,0.006041708,0.963116003791173,0.1976737310203467,0.06840384548090556,0.09676850361953145,0.3334269350846879,0.47168730570269624
114,metal_mn_ox_3_spin_5_ligstr_[NH3]_[NH3]_[NH3]_[NH3]_[NH3]_[NH3],22.331879,1.4386703,0.078405775,1.5078249,0.0035736838,0.4654405253823697,0.09552878457462,0.08388823671992748,0.29958981163173926,0.4089038775896303,1.460317208377616
