,name,y_preds,y_preds_sc,v,alpha,beta,error,error_sc,uq_ale_sc,uq_epi_sc,uq_ale,uq_epi
0,metal_co_ox_2_spin_2_ligstr_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2_C2H6P2,14.58714,-0.15088995,0.666785,2.7743433,0.013036232,0.7403569550558178,0.151953735018517,0.085715076076831,0.10496978417105733,0.41780860280474197,0.511663535384524
2,metal_co_ox_2_spin_2_ligstr_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2]_[PH2]-[S]-[S]-[PH2],14.895167,-0.08766932,0.6747149,2.884778,0.008821908,0.2580137963935947,0.0529556632408636,0.06841497305789303,0.08328964476325117,0.3334811752208055,0.40598610768827814
12,metal_co_ox_3_spin_5_ligstr_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3]_[NH2]-[CH3],20.175821,0.99615264,0.26224798,2.413053,0.010434608,-0.0140523101885214,-0.0028842322552425,0.08593277637552414,0.1678041772080844,0.41886975869225035,0.8179427941155383
24,metal_mn_ox_2_spin_6_ligstr_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH]_[SH]-[OH],15.411977,0.018402796,0.6778082,2.8935652,0.008621415,0.0621705021531386,0.0127601569408489,0.06747597111240798,0.08195882704358329,0.3289041146985424,0.3994991847630295
26,metal_mn_ox_3_spin_5_ligstr_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P]_[N]#[P],20.525784,1.0679803,0.223972,2.2979226,0.009873137,1.204366165885311,0.247188753577349,0.08721740971830341,0.1842919308802087,0.4251315610102217,0.8983105151797333
27,metal_co_ox_2_spin_2_ligstr_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH]_[OH]-[S]-[S]-[OH],16.02755,0.14474542,0.633222,2.9927611,0.005034809,-1.0411874642031265,-0.2136972755155262,0.05026479104272841,0.06316636476816202,0.24501013213836842,0.30789741800362386
30,metal_co_ox_2_spin_4_ligstr_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH]_[OH]-[OH],17.285133,0.40285662,0.49311247,2.776123,0.0073768045,-0.724281601066842,-0.1486544417349725,0.06444624497997423,0.09177504903698977,0.3141360517134671,0.4473472668461641
35,metal_co_ox_3_spin_5_ligstr_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N]_[N]#[N],26.531557,2.3006287,0.046455987,2.0136073,0.0031524268,-0.8249067772326626,-0.1693070568093664,0.0557683301331328,0.258741919032434,0.27183652118318524,1.2612087001014733
37,metal_cr_ox_2_spin_1_ligstr_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2]_[PH2]-[O]-[O]-[PH2],15.19993,-0.025118433,0.6600645,2.7964025,0.010302634,0.4182563312309053,0.0858446412936772,0.07573075917910811,0.09321356596101625,0.36914116081054477,0.4543591575618621
39,metal_cr_ox_2_spin_5_ligstr_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2_C2H6S2,13.9308195,-0.2855957,0.6147573,2.73663,0.0115745505,-0.3718230638024451,-0.0763143675862345,0.08163913931456253,0.10412297547113071,0.39794090249216896,0.5075358605815278
